Fkm,hydro_vel
93,1.1944
92.5,0.1163
92,0.1326
91.5,0.1222
91,0.1163
90.5,0.1276
90,0.1193
89.5,0.1396
89,0.1249
88.5,0.1132
88,0.1066
87.5,0.11
87,1.1781
86.5,0.6314
86,0.5366
85.5,0.6151
85,0.5587
84.5,0.6588
84,0.6588
83.5,0.7461
83,0.7892
82.5,0.7892
82,0.7461
81.5,0.0793
81,0.0793
80.5,0.084
80,0.0738
79.5,0.0793
79,0.0738
78.5,0.0673
78,0.0711
77.5,0.0973
77,0.078
76.5,0.0624
76,0.7543
75.5,0.6659
75,0.8239
74.5,0.9686
74,1.0574
73.5,1.018
73,1.1115
72.5,1.1115
72,0.8993
71.5,0.7306
71,0.8302
70.5,0.7306
70,0.6627
69.5,0.466
69,0.5824
68.5,0.6817
68,0.7792
67.5,0.6298
67,0.7134
66.5,0.1431
66,0.1431
65.5,0.1431
65,0.1431
64.5,0.158
64,1.1226
63.5,1.2705
63,0.72
62.5,0.72
62,0.8153
61.5,0.72
61,0.72
60.5,0.72
60,0.72
59.5,0.0669
59,0.2527
58.5,0.3134
58,0.0685
57.5,0.0782
57,0.0554
56.5,0.0707
56,0.0707
55.5,0.0561
55,0.0643
54.5,0.0643
54,0.0643
53.5,0.0707
53,0.4582
52.5,0.4582
52,0.4582
51.5,0.5003
51,0.4048
50.5,0.4048
50,0.4048
49.5,0.4048
49,0.0587
48.5,0.0675
48,0.0675
47.5,0.0459
47,0.0459
46.5,0.0481
46,0.1016
45.5,0.5668
45,0.5668
44.5,0.57
44,0.57
43.5,0.57
43,0.5856
42.5,0.2758
42,0.2758
41.5,0.2758
41,0.2758
40.5,0.2758
40,0.3991
39.5,0.3991
39,0.4998
38.5,0.4998
38,0.5595
37.5,0.269
37,0.269
36.5,0.0488
36,0.0488
35.5,0.0488
35,0.0488
34.5,0.0662
34,0.1342
33.5,0.6189
33,0.6189
32.5,0.6189
32,0.0684
31.5,0.063
31,0.2975
30.5,0.2975
30,0.2975
29.5,0.2975
29,0.2873
28.5,0.0989
28,0.0989
27.5,0.0989
27,0.0853
26.5,0.3507
26,0.3507
25.5,0.3507
25,0.0737
24.5,0.0737
24,0.0698
23.5,0.0557
23,0.5657
22.5,0.5657
22,0.7856
21.5,1.045
21,1.045
20.5,0.9864
20,0.7668
19.5,0.8693
19,0.8693
18.5,0.8693
18,0.6305
17.5,0.6018
17,0.0819
16.5,0.7027
16,0.7027
15.5,0.7027
15,0.7027
14.5,0.7027
14,0.8998
13.5,0.7027
13,0.7027
12.5,0.7027
12,0.8998
11.5,0.5454
11,0.5454
10.5,0.5454
10,0.5454
9.5,0.5454
9,0.7027
8.5,0.7027
8,0.7027
7.5,0.8998
