Land Cover Name,Code,Height (m),Density (0-1),Overhang (m)
emergent,0,30,0.9,8
agriculture_h>2_d5_OH0,100,30,0.9,8
agriculture_h>2_d5_OH0,101,30,0.9,8
agriculture_h0-1_d5_OH0,101,30,0.9,8
agriculture_h0-5_d1_OH0,102,30,0.9,8
agriculture_h0-5_d2_OH0,103,30,0.9,8
agriculture_h0-5_d2_OH0-0.5,104,30,0.9,8
agriculture_h0-5_d3_OH0,105,30,0.9,8
agriculture_h0-5_d3_OH0-0.5,106,30,0.9,8
agriculture_h0-5_d4_OH0,107,30,0.9,8
agriculture_h0-5_d5_OH0,108,30,0.9,8
agriculture_h10-20_d1_OH0,109,30,0.9,8
agriculture_h10-20_d2_OH0,110,30,0.9,8
agriculture_h10-20_d2_OH0-0.5,111,30,0.9,8
agriculture_h10-20_d2_OH1-2.5,112,30,0.9,8
agriculture_h10-20_d3_OH0,113,30,0.9,8
agriculture_h10-20_d3_OH0-0.5,114,30,0.9,8
agriculture_h10-20_d3_OH1-2.5,115,30,0.9,8
agriculture_h10-20_d3_OH3-5,116,30,0.9,8
agriculture_h10-20_d3_OH6-8,117,30,0.9,8
agriculture_h10-20_d4_OH0,118,30,0.9,8
agriculture_h1-2_d5_OH0,119,30,0.9,8
agriculture_h20-30_d2_OH0,120,30,0.9,8
agriculture_h20-30_d3_OH0,121,30,0.9,8
agriculture_h30-40_d1_OH0,122,30,0.9,8
agriculture_h30-40_d2_OH0,123,30,0.9,8
agriculture_h5-10_d1_OH0,124,30,0.9,8
agriculture_h5-10_d2_OH0,125,30,0.9,8
agriculture_h5-10_d2_OH0-0.5,126,30,0.9,8
agriculture_h5-10_d3_OH0,127,30,0.9,8
agriculture_h5-10_d3_OH1-2.5,128,30,0.9,8
agriculture_h5-10_d3_OH3-5,129,30,0.9,8
agriculture_h5-10_d4_OH0,130,30,0.9,8
agriculture_h5-10_d4_OH0-0.5,131,30,0.9,8
agriculture_h5-10_d5_OH0,132,30,0.9,8
artificial cover_h1_d6_OH50,133,30,0.9,8
buildings_h0-5_d6_OH0,134,30,0.9,8
buildings_h10-20_d6_OH0,135,30,0.9,8
buildings_h5-10_d6_OH0,136,30,0.9,8
commercial forest_h0-5_d1_OH0,137,30,0.9,8
commercial forest_h0-5_d2_OH0,138,30,0.9,8
commercial forest_h0-5_d2_OH0-0.5,139,30,0.9,8
commercial forest_h0-5_d3_OH0,140,30,0.9,8
commercial forest_h0-5_d3_OH0-0.5,141,30,0.9,8
commercial forest_h0-5_d4_OH0,142,30,0.9,8
commercial forest_h0-5_d5_OH0,143,30,0.9,8
commercial forest_h0-5_d5_OH0-0.5,144,30,0.9,8
commercial forest_h10-20_d2_OH0,145,30,0.9,8
commercial forest_h10-20_d2_OH1-2.5,146,30,0.9,8
commercial forest_h10-20_d3_OH0,147,30,0.9,8
commercial forest_h10-20_d3_OH1-2.5,148,30,0.9,8
commercial forest_h10-20_d4_OH0,149,30,0.9,8
commercial forest_h10-20_d4_OH1-2.5,150,30,0.9,8
commercial forest_h10-20_d4_OH3-5,151,30,0.9,8
commercial forest_h10-20_d5_OH0,152,30,0.9,8
commercial forest_h10-20_d5_OH0-0.5,153,30,0.9,8
commercial forest_h10-20_d5_OH1-2.5,154,30,0.9,8
commercial forest_h10-20_d5_OH3-5,155,30,0.9,8
commercial forest_h20-30_d1_OH0,156,30,0.9,8
commercial forest_h20-30_d2_OH0-0.5,157,30,0.9,8
commercial forest_h20-30_d3_OH0,158,30,0.9,8
commercial forest_h20-30_d3_OH1-2.5,159,30,0.9,8
commercial forest_h20-30_d4_OH0,160,30,0.9,8
commercial forest_h20-30_d4_OH0-0.5,161,30,0.9,8
commercial forest_h20-30_d4_OH1-2.5,162,30,0.9,8
commercial forest_h20-30_d4_OH3-5,163,30,0.9,8
commercial forest_h20-30_d4_OH6-8,164,30,0.9,8
commercial forest_h20-30_d5_OH0,165,30,0.9,8
commercial forest_h20-30_d5_OH0-0.5,166,30,0.9,8
commercial forest_h20-30_d5_OH1-2.5,167,30,0.9,8
commercial forest_h20-30_d5_OH3-5,168,30,0.9,8
commercial forest_h30-40_d2_OH1-2.5,169,30,0.9,8
commercial forest_h30-40_d3_OH0,170,30,0.9,8
commercial forest_h30-40_d4_OH0,171,30,0.9,8
commercial forest_h30-40_d4_OH0-0.5,172,30,0.9,8
commercial forest_h30-40_d4_OH1-2.5,173,30,0.9,8
commercial forest_h30-40_d4_OH3-5,174,30,0.9,8
commercial forest_h30-40_d5_OH0,175,30,0.9,8
commercial forest_h30-40_d5_OH1-2.5,176,30,0.9,8
commercial forest_h30-40_d5_OH3-5,177,30,0.9,8
commercial forest_h5-10_d2_OH0,178,30,0.9,8
commercial forest_h5-10_d2_OH0-0.5,179,30,0.9,8
commercial forest_h5-10_d3_OH0-0.5,180,30,0.9,8
commercial forest_h5-10_d4_OH0,181,30,0.9,8
