Stream_KM,Longitude,Latitude,TopoWest,TopoSouth,TopoEast,Veg0_EMERG,VEG0_RT,VEG1_RT,VEG2_RT,VEG3_RT,VEG4_RT,VEG5_RT,VEG6_RT,VEG7_RT,VEG8_RT,VEG9_RT,VEG0_LT,VEG1_LT,VEG2_LT,VEG3_LT,VEG4_LT,VEG5_LT,VEG6_LT,VEG7_LT,VEG8_LT,VEG9_LT,ELEV_V0_RT,ELEV_V1_RT,ELEV_V2_RT,ELEV_V3_RT,ELEV_V4_RT,ELEV_V5_RT,ELEV_V6_RT,ELEV_V7_RT,ELEV_V8_RT,ELEV_V9_RT,ELEV_V0_LT,ELEV_V1_LT,ELEV_V2_LT,ELEV_V3_LT,ELEV_V4_LT,ELEV_V5_LT,ELEV_V6_LT,ELEV_V7_LT,ELEV_V8_LT,ELEV_V9_LT,LAT_V0_RT,LAT_V1_RT,LAT_V2_RT,LAT_V3_RT,LAT_V4_RT,LAT_V5_RT,LAT_V6_RT,LAT_V7_RT,LAT_V8_RT,LAT_V9_RT,LAT_V0_LT,LAT_V1_LT,LAT_V2_LT,LAT_V3_LT,LAT_V4_LT,LAT_V5_LT,LAT_V6_LT,LAT_V7_LT,LAT_V8_LT,LAT_V9_LT,LON_V0_RT,LON_V1_RT,LON_V2_RT,LON_V3_RT,LON_V4_RT,LON_V5_RT,LON_V6_RT,LON_V7_RT,LON_V8_RT,LON_V9_RT,LON_V0_LT,LON_V1_LT,LON_V2_LT,LON_V3_LT,LON_V4_LT,LON_V5_LT,LON_V6_LT,LON_V7_LT,LON_V8_LT,LON_V9_LT
93,16.04167442,47.48511991,16.33793415,9.891619727,19.48612957,0,153,153,153,101,101,101,101,101,101,101,163,163,163,163,163,163,156,156,156,156,721,718,724,727,729,731,732,733,736,737,721,720,721,723,725,727,730,733,734,737,47.48790662,47.487924,47.48788925,47.48785451,47.48781976,47.48778502,47.48775027,47.48771553,47.48768079,47.48764604,47.48801086,47.48799348,47.48802823,47.48806297,47.48809772,47.48813246,47.48816721,47.48820195,47.48823669,47.48827144,16.03686278,16.03688385,16.03684171,16.03679958,16.03675744,16.0367153,16.03667317,16.03663103,16.03658889,16.03654676,16.03698919,16.03696812,16.03701026,16.0370524,16.03709454,16.03713667,16.03717881,16.03722095,16.03726308,16.03730522
92.5,16.04610883,47.48183766,14.90080228,7.125016349,28.30075577,0,241,241,241,224,224,224,224,224,224,224,167,167,167,167,167,167,167,167,167,167,701,702,700,700,701,701,701,701,702,705,705,705,706,709,713,714,714,714,715,715,47.48508644,47.48508948,47.48505906,47.48502863,47.4849982,47.48496777,47.48493735,47.48490692,47.48487649,47.48484606,47.48515338,47.48515034,47.48518077,47.48521119,47.48524162,47.48527205,47.48530247,47.4853329,47.48536333,47.48539376,16.04162067,16.04162556,16.04157669,16.04152783,16.04147897,16.0414301,16.04138124,16.04133238,16.04128351,16.04123465,16.04172817,16.04172328,16.04177215,16.04182101,16.04186987,16.04191874,16.0419676,16.04201647,16.04206533,16.04211419
92,16.04875071,47.47784453,18.62786318,6.875650731,21.89367314,0,241,241,241,101,101,101,101,165,165,165,181,181,181,181,181,181,165,165,165,165,683,682,683,684,684,685,685,685,686,686,683,682,687,692,696,699,702,705,708,711,47.48181128,47.48181368,47.4817897,47.48176572,47.48174174,47.48171776,47.48169379,47.48166981,47.48164583,47.48162185,47.48186403,47.48186163,47.48188561,47.48190959,47.48193357,47.48195755,47.48198153,47.4820055,47.48202948,47.48205346,16.04604709,16.0460527,16.04599657,16.04594044,16.0458843,16.04582817,16.04577204,16.04571591,16.04565978,16.04560364,16.04617058,16.04616496,16.0462211,16.04627723,16.04633336,16.04638949,16.04644563,16.04650176,16.04655789,16.04661402
91.5,16.05052485,47.47393952,32.15229514,23.19859051,20.30156056,0,151,151,175,175,175,175,175,175,175,175,151,151,151,101,101,101,101,101,101,152,665,665,665,665,665,665,665,664,665,668,666,666,666,665,666,667,668,671,674,676,47.47781021,47.47781333,47.47778213,47.47775093,47.47771973,47.47768854,47.47765734,47.47762614,47.47759494,47.47756374,47.47787884,47.47787572,47.47790692,47.47793812,47.47796932,47.47800052,47.47803171,47.47806291,47.47809411,47.47812531,16.04869814,16.04870292,16.04865513,16.04860734,16.04855956,16.04851177,16.04846398,16.04841619,16.04836841,16.04832062,16.04880327,16.04879849,16.04884628,16.04889407,16.04894186,16.04898965,16.04903743,16.04908522,16.04913301,16.0491808
91,16.05304041,47.46998835,35.53767779,17.96913974,24.85158586,0,187,187,175,175,175,175,175,175,175,175,176,176,176,176,176,176,176,176,176,176,652,652,657,660,663,667,669,670,674,677,649,649,650,650,650,650,651,651,652,654,47.47390197,47.47390539,47.47387125,47.47383712,47.47380298,47.47376885,47.47373471,47.47370057,47.47366644,47.4736323,47.47397707,47.47397366,47.4740078,47.47404193,47.47407607,47.4741102,47.47414434,47.47417847,47.47421261,47.47424675,16.05047733,16.05048165,16.05043846,16.05039526,16.05035207,16.05030887,16.05026568,16.05022249,16.05017929,16.0501361,16.05057236,16.05056804,16.05061124,16.05065443,16.05069763,16.05074082,16.05078402,16.05082721,16.05087041,16.0509136
90.5,16.05459965,47.4668152,27.83182756,22.38013505,17.75825848,0,187,187,187,187,160,160,160,160,160,160,162,162,162,162,162,162,160,160,160,160,640,640,642,644,647,650,652,655,658,661,635,636,635,634,634,633,635,641,644,649,47.46997147,47.469973,47.46995766,47.46994231,47.46992696,47.46991161,47.46989626,47.46988091,47.46986556,47.46985021,47.47000524,47.4700037,47.47001905,47.4700344,47.47004975,47.4700651,47.47008044,47.47009579,47.47011114,47.47012649,16.05297182,16.05297806,16.05291571,16.05285336,16.05279101,16.05272865,16.0526663,16.05260395,16.0525416,16.05247925,16.05310899,16.05310276,16.05316511,16.05322746,16.05328981,16.05335216,16.05341451,16.05347686,16.05353921,16.05360157
90,16.05717649,47.46329321,26.73209379,26.56505118,33.27488798,0,150,150,150,150,150,150,187,181,181,181,150,150,150,150,150,150,150,150,150,150,614,614,615,616,617,621,623,626,629,631,615,615,616,619,622,624,628,631,635,637,47.46678197,47.46678499,47.46675478,47.46672458,47.46669437,47.46666416,47.46663395,47.46660375,47.46657354,47.46654333,47.46684843,47.46684541,47.46687561,47.46690582,47.46693603,47.46696624,47.46699645,47.46702665,47.46705686,47.46708707,16.0545456,16.05455051,16.05450137,16.05445223,16.05440308,16.05435394,16.0543048,16.05425566,16.05420652,16.05415737,16.05465371,16.05464879,16.05469794,16.05474708,16.05479622,16.05484536,16.05489451,16.05494365,16.05499279,16.05504193
89.5,16.05409375,47.45988555,22.6321549,8.097180056,45,0,264,264,264,264,264,264,273,101,101,101,264,264,264,167,167,167,167,167,167,167,599,599,600,603,606,610,610,613,616,618,603,603,606,610,614,618,620,625,627,631,47.46332597,47.46332299,47.46335278,47.46338256,47.46341234,47.46344212,47.46347191,47.46350169,47.46353147,47.46356125,47.46326045,47.46326343,47.46323365,47.46320386,47.46317408,47.4631443,47.46311452,47.46308473,47.46305495,47.46302517,16.05712182,16.05712679,16.05707709,16.05702739,16.05697769,16.05692799,16.05687829,16.05682859,16.05677889,16.05672919,16.05723116,16.05722619,16.05727589,16.05732559,16.05737529,16.05742499,16.05747469,16.05752439,16.05757409,16.05762379
89,16.05610377,47.45589085,28.61045967,15.40770364,26.56505118,0,133,133,187,160,160,160,160,160,160,160,187,187,101,101,101,101,101,101,101,101,573,572,573,573,573,573,574,574,574,575,577,577,582,586,590,593,597,600,603,605,47.45986302,47.45986507,47.45984459,47.45982411,47.45980364,47.45978316,47.45976268,47.4597422,47.45972173,47.45970125,47.45990807,47.45990603,47.4599265,47.45994698,47.45996746,47.45998794,47.46000841,47.46002889,47.46004937,47.46006985,16.0540288,16.0540347,16.05397565,16.05391661,16.05385756,16.05379851,16.05373947,16.05368042,16.05362137,16.05356233,16.0541587,16.0541528,16.05421184,16.05427089,16.05432994,16.05438899,16.05444803,16.05450708,16.05456613,16.05462518
88.5,16.05986314,47.45240101,23.75868093,7.571965444,12.57656745,0,260,260,260,101,101,101,101,101,101,187,259,259,259,259,101,101,101,101,101,101,558,558,560,560,563,565,568,569,572,577,559,559,559,560,560,560,560,560,561,561,47.45586567,47.45586796,47.45584508,47.4558222,47.45579931,47.45577643,47.45575354,47.45573066,47.45570777,47.45568489,47.45591602,47.45591373,47.45593662,47.4559595,47.45598238,47.45600527,47.45602815,47.45605103,47.45607392,47.4560968,16.05604097,16.05604668,16.05598959,16.0559325,16.05587541,16.05581832,16.05576123,16.05570414,16.05564705,16.05558996,16.05616656,16.05616086,16.05621795,16.05627504,16.05633213,16.05638922,16.05644631,16.0565034,16.05656049,16.05661758
