Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
93,704,0.0360,1.5,0.5,0.040,2.00,0.0064,0.100,0.01,0.20
92.5,689,0.0300,1.5,0.2,0.040,2.00,0.0064,0.100,0.01,0.20
92,668,0.0420,1.5,0.2,0.040,2.00,0.0064,0.100,0.01,0.30
91.5,651,0.0340,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
91,636,0.0300,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
90.5,617,0.0380,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
90,601,0.0320,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
89.5,577,0.0480,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
89,559,0.0360,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
88.5,545,0.0280,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
88,533,0.0240,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
87.5,520,0.0260,1.5,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
87,508,0.0240,6.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
86.5,496,0.0240,8.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
86,489,0.0140,8.0,0.2,0.015,2.00,0.0064,0.100,0.01,0.35
85.5,478,0.0220,8.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
85,470,0.0160,8.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
84.5,463,0.0140,8.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
84,456,0.0140,8.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
83.5,451,0.0100,5.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
83,445,0.0120,5.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
82.5,439,0.0120,5.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.10
82,434,0.0100,5.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.10
81.5,429,0.0100,10.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.10
81,424,0.0100,10.0,0.2,0.040,2.00,0.0064,0.100,0.01,0.10
80.5,418,0.0120,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
80,414,0.0080,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
79.5,409,0.0100,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
79,405,0.0080,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
78.5,402,0.0060,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
78,399,0.0060,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
77.5,391,0.0160,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
77,387,0.0080,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
76.5,385,0.0040,10.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.20
76,382,0.0060,6.0,0.5,0.025,2.00,0.0064,0.100,0.01,0.20
75.5,380,0.0040,6.0,0.5,0.025,2.00,0.0064,0.100,0.01,0.20
75,376,0.0080,6.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.20
74.5,373,0.0060,6.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.20
74,369,0.0080,6.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.20
73.5,366,0.0060,6.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
73,362,0.0080,6.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
72.5,358,0.0080,6.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
72,356,0.0040,6.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
71.5,354,0.0040,4.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
71,351,0.0060,4.0,0.2,0.020,2.00,0.0064,0.100,0.01,0.40
70.5,349,0.0040,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.35
70,346,0.0060,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.35
69.5,345,0.0020,4.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.35
69,343,0.0040,4.0,0.2,0.050,2.00,0.0064,0.100,0.01,0.35
68.5,340,0.0060,7.0,0.5,0.050,2.00,0.0064,0.100,0.01,0.35
68,336,0.0080,7.0,0.5,0.050,2.00,0.0064,0.100,0.01,0.35
67.5,334,0.0040,7.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
67,331,0.0060,7.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
66.5,328,0.0060,5.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.35
66,325,0.0060,5.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.35
65.5,322,0.0060,5.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.35
65,319,0.0060,5.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.35
64.5,315,0.0080,5.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.35
64,313,0.0040,6.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.35
63.5,310,0.0060,6.0,0.2,0.025,2.00,0.0064,0.100,0.01,0.35
63,308,0.0040,7.0,0.2,0.015,2.00,0.0064,0.100,0.01,0.10
62.5,306,0.0040,7.0,0.2,0.015,2.00,0.0064,0.100,0.01,0.10
62,303,0.0060,7.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
61.5,301,0.0040,7.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
61,299,0.0040,7.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
60.5,297,0.0040,7.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
60,295,0.0040,7.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
59.5,293,0.0040,12.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
59,292,0.0020,9.0,0.2,0.030,2.00,0.0064,0.100,0.01,0.35
58.5,290,0.0040,9.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.30
58,288,0.0040,11.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.20
57.5,285,0.0060,11.0,0.2,0.035,2.00,0.0064,0.100,0.01,0.20
57,284,0.0020,10.0,0.5,0.020,2.00,0.0064,0.100,0.01,0.35
56.5,282,0.0040,10.0,0.5,0.020,2.00,0.0064,0.100,0.01,0.35
56,280,0.0040,10.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
55.5,279,0.0020,10.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
55,277.5,0.0030,10.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
54.5,276,0.0030,10.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
54,274,0.0030,10.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
53.5,272,0.0040,10.0,0.5,0.035,2.00,0.0064,0.100,0.01,0.35
53,270.5,0.0030,10.0,0.15,0.035,2.00,0.0064,0.100,0.01,0.35
52.5,269,0.0030,10.0,0.15,0.035,2.00,0.0064,0.100,0.01,0.35
52,268,0.0030,10.0,0.15,0.045,2.00,0.0064,0.100,0.01,0.40
51.5,266,0.0040,10.0,0.15,0.045,2.00,0.0064,0.100,0.01,0.40
51,265,0.0020,10.0,0.15,0.045,2.00,0.0064,0.100,0.01,0.40
50.5,264,0.0020,10.0,0.15,0.045,2.00,0.0064,0.100,0.01,0.40
