Stream_KM,Elevation,Gradient,BottomWidth,ChannelAngleZ ,Mannings_n,SedThermalConductivity,SedThermalDiffusivity,SedHyporheicThickness,%HyporheicExchange,Porosity
93,704,0.036,1.5,0.5,0.04,2,0.0064,0.1,0.01,0.3
92.5,689,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
92,668,0.042,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91.5,651,0.034,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
91,636,0.03,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90.5,617,0.038,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
90,601,0.032,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89.5,577,0.048,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
89,559,0.036,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88.5,545,0.028,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
88,533,0.024,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87.5,520,0.026,1.5,0.15,1,2,0.0064,0.1,0.01,0.4
87,508,0.024,6,0.15,0.015,2,0.0064,0.1,0.01,0.35
86.5,496,0.024,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
86,489,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85.5,478,0.022,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
85,470,0.016,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84.5,463,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
84,456,0.014,8,0.15,0.035,2,0.0064,0.1,0.01,0.3
83.5,451,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
83,445,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82.5,439,0.012,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
82,434,0.01,5,0.15,0.04,2,0.0064,0.1,0.01,0.1
81.5,429,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
81,424,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
80.5,418,0.012,10,0.15,1,2,0.0064,0.1,0.01,0.2
80,414,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
79.5,409,0.01,10,0.15,1,2,0.0064,0.1,0.01,0.2
79,405,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
78.5,402,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
78,399,0.006,10,0.15,1,2,0.0064,0.1,0.01,0.2
77.5,391,0.016,10,0.15,1,2,0.0064,0.1,0.01,0.2
77,387,0.008,10,0.15,1,2,0.0064,0.1,0.01,0.2
76.5,385,0.004,10,0.15,1,2,0.0064,0.1,0.01,0.2
76,382,0.006,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75.5,380,0.004,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
75,376,0.008,6,0.5,0.03,2,0.0064,0.1,0.01,0.2
74.5,373,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
74,369,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
73.5,366,0.006,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
73,362,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
72.5,358,0.008,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
72,356,0.004,6,0.15,0.02,2,0.0064,0.1,0.01,0.4
71.5,354,0.004,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
71,351,0.006,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
70.5,349,0.004,4,0.15,0.035,2,0.0064,0.1,0.01,0.35
70,346,0.006,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
69.5,345,0.002,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
69,343,0.004,4,0.15,0.05,2,0.0064,0.1,0.01,0.35
68.5,340,0.006,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
68,336,0.008,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
67.5,334,0.004,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
67,331,0.006,7,0.5,0.035,2,0.0064,0.1,0.01,0.35
66.5,328,0.006,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
66,325,0.006,5,0.15,0.5,2,0.0064,0.1,0.01,0.35
